/net014 X,/net014 Y,/net015 X,/net015 Y
9.78782107885633e-10,0.8625627906525376,9.78782107885633e-10,-0.04377017169703185
9.852619209885063e-10,0.8625630755111817,9.852619209885063e-10,-0.04377188098536194
9.93018054431556e-10,0.8625684891808587,9.93018054431556e-10,-0.04377722878157673
1.000709547461666e-09,0.8625754505656625,1.000709547461666e-09,-0.04378527636813097
1.008789410067101e-09,0.8625825928604766,1.008789410067101e-09,-0.04379256129764561
1.020372170552654e-09,0.8625977118743353,1.020372170552654e-09,-0.04380441291535946
1.031351189616634e-09,0.8626089709479829,1.031351189616634e-09,-0.04381435439394205
1.040564804867453e-09,0.8626186980345785,1.040564804867453e-09,-0.04382110339436548
1.055152374517015e-09,0.8626331648725138,1.055152374517015e-09,-0.04383441986554357
1.067638887279325e-09,0.8626448755507546,1.067638887279325e-09,-0.04384386603305576
1.078470683173438e-09,0.862649450977049,1.078470683173438e-09,-0.04384915023919047
1.091913898801025e-09,0.862646161492662,1.091913898801025e-09,-0.04384466364876553
1.104217074893757e-09,0.862633413951966,1.104217074893757e-09,-0.04383302379764182
1.119064023389643e-09,0.8626138958534593,1.119064023389643e-09,-0.04381298676174457
1.130399960315122e-09,0.8626025232798229,1.130399960315122e-09,-0.04380267185073543
1.141826334973692e-09,0.8625940503038334,1.141826334973692e-09,-0.04379340575505523
1.154942273858477e-09,0.8625893109234137,1.154942273858477e-09,-0.04378846383049334
1.167548376719753e-09,0.8625836376374262,1.167548376719753e-09,-0.04378162597958166
1.184757850167564e-09,0.8625858918456449,1.184757850167564e-09,-0.04378202163011766
1.205431251975706e-09,0.8626122986993086,1.205431251975706e-09,-0.04380471899786884
1.228761149999394e-09,0.8626510755189966,1.228761149999394e-09,-0.04384309095125214
1.250811960228278e-09,0.8626660999883806,1.250811960228278e-09,-0.04386048652488821
1.272294013479914e-09,0.8626498402308818,1.272294013479914e-09,-0.04384686294249125
1.286147006739957e-09,0.8626206970867433,1.286147006739957e-09,-0.04382237715777951
1.3e-09,0.8625763534565893,1.3e-09,-0.04378329448296779
