/net07 X,/net07 Y,/net7 X,/net7 Y,/net5 X,/net5 Y,/net4 X,/net4 Y
2.3481027709e-09,0.913682651676932,2.3481027709e-09,0.009752307993365064,2.3481027709e-09,0.8696286498643762,2.3481027709e-09,-0.02922360668064364
2.3488819903e-09,0.9137627324543632,2.3488819903e-09,0.009675683881742758,2.3488819903e-09,0.8696162493890841,2.3488819903e-09,-0.02921530089717938
2.3495235595e-09,0.9138294198028944,2.3495235595e-09,0.009611797769930057,2.3495235595e-09,0.8696053184302284,2.3495235595e-09,-0.02920778034331765
2.3501651287e-09,0.9138949178672514,2.3501651287e-09,0.009549079248205229,2.3501651287e-09,0.8695938916576987,2.3501651287e-09,-0.02919980278064586
2.350806698e-09,0.9139600719587654,2.350806698e-09,0.009486673101113993,2.350806698e-09,0.8695820626506376,2.350806698e-09,-0.02919145903774137
2.3514482672e-09,0.9140242338975904,2.3514482672e-09,0.009425251293021185,2.3514482672e-09,0.8695698478280052,2.3514482672e-09,-0.02918275432237142
2.3520898364e-09,0.9140900423257304,2.3520898364e-09,0.009362190435911227,2.3520898364e-09,0.869557106614679,2.3520898364e-09,-0.02917354543765991
2.3527314056e-09,0.914157310603675,2.3527314056e-09,0.009297693572174689,2.3527314056e-09,0.869543780089553,2.3527314056e-09,-0.02916376495198528
2.3534256657e-09,0.9142254721472974,2.3534256657e-09,0.009232504828928598,2.3534256657e-09,0.8695286835201218,2.3534256657e-09,-0.02915252774720042
2.3542348873e-09,0.9142995036741559,2.3542348873e-09,0.009161881471275123,2.3542348873e-09,0.8695102861525433,2.3542348873e-09,-0.02913866627778674
2.3545367153e-09,0.9143259700748734,2.3545367153e-09,0.009136678090461888,2.3545367153e-09,0.8695032104333418,2.3545367153e-09,-0.02913329425868781
2.3549070652e-09,0.9143576491244542,2.3549070652e-09,0.009106544658646651,2.3549070652e-09,0.8694944467467627,2.3549070652e-09,-0.02912662687442721
2.3556477649e-09,0.9144181183550616,2.3556477649e-09,0.009049152637029172,2.3556477649e-09,0.8694766540193878,2.3556477649e-09,-0.02911304275562897
2.3571291644e-09,0.9145401680448955,2.3571291644e-09,0.008933067167405797,2.3571291644e-09,0.8694396131612585,2.3571291644e-09,-0.02908445929103742
2.3600919634e-09,0.9147084591243789,2.3600919634e-09,0.008776304991797391,2.3600919634e-09,0.8693581493097443,2.3600919634e-09,-0.02902008573137512
2.3650919634e-09,0.9147677631062096,2.3650919634e-09,0.008735661739248437,2.3650919634e-09,0.869204793697824,2.3650919634e-09,-0.02889561733275375
2.3700919634e-09,0.9145662213960718,2.3700919634e-09,0.008956723669408233,2.3700919634e-09,0.8690371060227786,2.3700919634e-09,-0.02875610629716503
2.3750919634e-09,0.9142660487070616,2.3750919634e-09,0.009279166300348737,2.3750919634e-09,0.8688631802493787,2.3750919634e-09,-0.02860865917535306
2.3800919634e-09,0.9139920030396549,2.3800919634e-09,0.009578601029728359,2.3800919634e-09,0.8686931754212555,2.3800919634e-09,-0.02846242489213994
2.3850919634e-09,0.9137536903258262,2.3850919634e-09,0.009843664587159157,2.3850919634e-09,0.8685388417627693,2.3850919634e-09,-0.02832821320374586
2.3900919634e-09,0.9134756831233087,2.3900919634e-09,0.01014650676192212,2.3900919634e-09,0.8684122568301706,2.3900919634e-09,-0.02821722112083969
2.392928538e-09,0.9133006060587544,2.392928538e-09,0.01033374640961389,2.392928538e-09,0.8683569115958364,2.392928538e-09,-0.02816843367361924
2.3957651126e-09,0.9131129505541018,2.3957651126e-09,0.01053115572674015,2.3957651126e-09,0.8683162827949444,2.3957651126e-09,-0.02813256493731421
2.3961547223e-09,0.9130917895699905,2.3961547223e-09,0.01055361870644537,2.3961547223e-09,0.8683120342360449,2.3961547223e-09,-0.02812881281535833
2.396544332e-09,0.9130722100445606,2.396544332e-09,0.01057452261214178,2.396544332e-09,0.8683080494412888,2.396544332e-09,-0.02812529659642026
2.3973235514e-09,0.9130366204884494,2.3973235514e-09,0.01061261380101174,2.3973235514e-09,0.8683009910966697,2.3973235514e-09,-0.02811908199926429
2.3981027709e-09,0.9130003739147871,2.3981027709e-09,0.01065093357111182,2.3981027709e-09,0.8682952831197552,2.3981027709e-09,-0.02811407461824487
2.3988819903e-09,0.9129672942940272,2.3988819903e-09,0.01068573977035139,2.3988819903e-09,0.8682908344762881,2.3988819903e-09,-0.02811019248577025
2.3995235595e-09,0.9129466030923535,2.3995235595e-09,0.01070796967058397,2.3995235595e-09,0.8682882908802683,2.3995235595e-09,-0.02810799036725108
2.4001651287e-09,0.9129290144033634,2.4001651287e-09,0.01072716303947345,2.4001651287e-09,0.8682868252663372,2.4001651287e-09,-0.02810674609360628
2.400806698e-09,0.9129140410361164,2.400806698e-09,0.0107438212205478,2.400806698e-09,0.868286388120531,2.400806698e-09,-0.02810642034015261
2.4014482672e-09,0.9129035188646362,2.4014482672e-09,0.01075596215149126,2.4014482672e-09,0.8682868492480728,2.4014482672e-09,-0.02810690200901732
2.4020898364e-09,0.9129007214600998,2.4020898364e-09,0.01076014178640129,2.4020898364e-09,0.8682883029867187,2.4020898364e-09,-0.02810827782570432
2.4027314056e-09,0.9129065374509366,2.4027314056e-09,0.01075536635596344,2.4027314056e-09,0.8682907338587823,2.4027314056e-09,-0.02811053773839825
2.4034256657e-09,0.9129145152229656,2.4034256657e-09,0.01074866918105822,2.4034256657e-09,0.8682945306979446,2.4034256657e-09,-0.02811403633406552
2.4042348873e-09,0.912926814951813,2.4042348873e-09,0.01073802912863879,2.4042348873e-09,0.8683007245019959,2.4042348873e-09,-0.02811970578337576
2.4045367153e-09,0.9129313234561233,2.4045367153e-09,0.01073417854588458,2.4045367153e-09,0.8683035773473315,2.4045367153e-09,-0.02812230769211109
2.4049070652e-09,0.9129368703318019,2.4049070652e-09,0.01072948300023687,2.4049070652e-09,0.8683073021458779,2.4049070652e-09,-0.02812570060292038
2.4056477649e-09,0.9129512584212015,2.4056477649e-09,0.01071675579322299,2.4056477649e-09,0.8683156077861445,2.4056477649e-09,-0.02813325639866244
2.4071291644e-09,0.9130244369786079,2.4071291644e-09,0.01064635454673275,2.4071291644e-09,0.8683363085662532,2.4071291644e-09,-0.02815207379169303
2.4100919634e-09,0.9131719826316574,2.4100919634e-09,0.01050551266213821,2.4100919634e-09,0.8683961893305882,2.4100919634e-09,-0.02820644671252956
2.4150919634e-09,0.9134803191870184,2.4150919634e-09,0.01021047039565811,2.4150919634e-09,0.868550209799714,2.4150919634e-09,-0.02834627899942194
2.4200919634e-09,0.9137233812364201,2.4200919634e-09,0.009983240228111461,2.4200919634e-09,0.868767036566635,2.4200919634e-09,-0.02854317916129926
2.4250919634e-09,0.9139409467434731,2.4250919634e-09,0.009783040464845374,2.4250919634e-09,0.8690389288637668,2.4250919634e-09,-0.02878999844798855
2.4300919634e-09,0.914208898239074,2.4300919634e-09,0.009534423200939708,2.4300919634e-09,0.8693518704091585,2.4300919634e-09,-0.02907359872542937
2.4350919634e-09,0.9144978488225929,2.4350919634e-09,0.009269153299603967,2.4350919634e-09,0.8696866771522329,2.4350919634e-09,-0.02937577472641521
2.4400919634e-09,0.9146334137564599,2.4400919634e-09,0.00916509857534515,2.4400919634e-09,0.8700195926164761,2.4400919634e-09,-0.02967379290597198
2.442928538e-09,0.9145821608127702,2.442928538e-09,0.009238242936074476,2.442928538e-09,0.8701969648724229,2.442928538e-09,-0.02983076838087075
2.4457651126e-09,0.9144006687885541,2.4457651126e-09,0.009444603035806258,2.4457651126e-09,0.870359243827279,2.4457651126e-09,-0.02997249110649426
2.4461547223e-09,0.9143730403226717,2.4461547223e-09,0.009475826618177582,2.4461547223e-09,0.8703799635633148,2.4461547223e-09,-0.02999038184709297
2.446544332e-09,0.914345933120983,2.446544332e-09,0.00950656749930168,2.446544332e-09,0.8704003004939431,2.446544332e-09,-0.03000789199863964
2.4473235514e-09,0.9142897276866926,2.4473235514e-09,0.009570107238631019,2.4473235514e-09,0.8704397492592929,2.4473235514e-09,-0.03004169457265653
2.4481027709e-09,0.9142159008796603,2.4481027709e-09,0.009651498044202084,2.4481027709e-09,0.8704774977289128,2.4481027709e-09,-0.03007380602434249
2.4488819903e-09,0.9141332631591549,2.4488819903e-09,0.009741824044556455,2.4488819903e-09,0.8705136478909838,2.4488819903e-09,-0.03010433234722465
2.4495235595e-09,0.9140680291250676,2.4495235595e-09,0.009813535958050462,2.4495235595e-09,0.8705417112071813,2.4495235595e-09,-0.03012778280924976
2.4501651287e-09,0.9140031145123215,2.4501651287e-09,0.009885020898199948,2.4501651287e-09,0.870567967408708,2.4501651287e-09,-0.03014944646004988
2.450806698e-09,0.9139394347135764,2.450806698e-09,0.009955351928341636,2.450806698e-09,0.8705925418567828,2.450806698e-09,-0.03016944516459031
2.4514482672e-09,0.913876439305061,2.4514482672e-09,0.01002505342986392,2.4514482672e-09,0.8706157452180372,2.4514482672e-09,-0.03018808669734593
2.4520898364e-09,0.9138108569859651,2.4520898364e-09,0.01009740584980157,2.4520898364e-09,0.870637522797199,2.4520898364e-09,-0.03020531901470969
2.4527314056e-09,0.91374306188569,2.4527314056e-09,0.010171987341039,2.4527314056e-09,0.8706579778854969,2.4527314056e-09,-0.03022124725303178
2.4534256657e-09,0.9136705520462187,2.4534256657e-09,0.01025196148664662,2.4534256657e-09,0.8706782927204977,2.4534256657e-09,-0.03023669244507981
2.4542348873e-09,0.9135869026539245,2.4542348873e-09,0.01034442780128215,2.4542348873e-09,0.8706988363698088,2.4542348873e-09,-0.03025161074874981
2.4545367153e-09,0.9135553944256587,2.4545367153e-09,0.01037924774093952,2.4545367153e-09,0.8707055004260231,2.4545367153e-09,-0.03025619209413576
2.4549070652e-09,0.9135164506063734,2.4549070652e-09,0.01042228562005057,2.4549070652e-09,0.8707132430566866,2.4549070652e-09,-0.03026138534465995
2.4556477649e-09,0.9134388846739762,2.4556477649e-09,0.01050808259163689,2.4556477649e-09,0.8707271621490889,2.4556477649e-09,-0.0302702286655572
2.4571291644e-09,0.9133037994506349,2.4571291644e-09,0.0106597266334813,2.4571291644e-09,0.870748316737736,2.4571291644e-09,-0.03028134482989275
2.4600919634e-09,0.9130145355413338,2.4600919634e-09,0.01098276838777858,2.4600919634e-09,0.8707563781213123,2.4600919634e-09,-0.03026997482879138
2.4650919634e-09,0.9125164478752995,2.4650919634e-09,0.01153916055527942,2.4650919634e-09,0.8706652889844076,2.4650919634e-09,-0.03014822012747088
2.4700919634e-09,0.9118986749373118,2.4700919634e-09,0.01221520102544674,2.4700919634e-09,0.8704370083622305,2.4700919634e-09,-0.02989237899665632
2.4750919634e-09,0.9112461563005638,2.4750919634e-09,0.01292385036516376,2.4750919634e-09,0.8700736174385906,2.4750919634e-09,-0.0295049384293156
2.4800919634e-09,0.9107408008931633,2.4800919634e-09,0.01348223118755665,2.4800919634e-09,0.8695933110398969,2.4800919634e-09,-0.02900422285975558
2.4850919634e-09,0.910484635129057,2.4850919634e-09,0.01378855715350511,2.4850919634e-09,0.869027120684147,2.4850919634e-09,-0.02842125402417499
2.4900919634e-09,0.9103954038443259,2.4900919634e-09,0.01392527745933267,2.4900919634e-09,0.8684179539232593,2.4900919634e-09,-0.02779890325241297
2.492928538e-09,0.9103469397743262,2.492928538e-09,0.01399856126875637,2.492928538e-09,0.8680740701916683,2.492928538e-09,-0.02744909328176874
2.4957651126e-09,0.9102535209803043,2.4957651126e-09,0.01411543175084201,2.4957651126e-09,0.8677442206606701,2.4957651126e-09,-0.02711441419784455
2.4961547223e-09,0.9102417485827216,2.4961547223e-09,0.01413017774231904,2.4961547223e-09,0.8677007109334637,2.4961547223e-09,-0.02707033335238377
2.496544332e-09,0.9102313519345656,2.496544332e-09,0.01414345823215906,2.496544332e-09,0.8676577818998749,2.496544332e-09,-0.02702684835977446
2.4973235514e-09,0.9102114559577605,2.4973235514e-09,0.01416906580899788,2.4973235514e-09,0.8675737703376778,2.4973235514e-09,-0.0269417789697247
2.4981027709e-09,0.9101803513002845,2.4981027709e-09,0.01420576583329266,2.4981027709e-09,0.8674920604364057,2.4981027709e-09,-0.02685909434990377
2.4988819903e-09,0.9101451448512841,2.4988819903e-09,0.01424652333770458,2.4988819903e-09,0.867412410969896,2.4988819903e-09,-0.02677854354079857
2.4995235595e-09,0.9101207151130611,2.4995235595e-09,0.01427527435121866,2.4995235595e-09,0.8673492527395088,2.4995235595e-09,-0.02671470562203632
2.5001651287e-09,0.9100974876189989,2.5001651287e-09,0.01430265480965847,2.5001651287e-09,0.8672888150265842,2.5001651287e-09,-0.02665364513124024
2.500806698e-09,0.9100765591347872,2.500806698e-09,0.01432759880569305,2.500806698e-09,0.8672309700597599,2.500806698e-09,-0.02659523075387204
2.5014482672e-09,0.9100584704434989,2.5014482672e-09,0.01434965352562182,2.5014482672e-09,0.8671753063191341,2.5014482672e-09,-0.02653904513959966
2.5020898364e-09,0.9100402567709083,2.5020898364e-09,0.01437166360004388,2.5020898364e-09,0.8671218730528787,2.5020898364e-09,-0.02648514360184187
2.5027314056e-09,0.910022719282166,2.5027314056e-09,0.01439291152310648,2.5027314056e-09,0.867070486142303,2.5027314056e-09,-0.02643334115077881
2.5034256657e-09,0.9100056420658486,2.5034256657e-09,0.01441390436673238,2.5034256657e-09,0.8670178037907433,2.5034256657e-09,-0.02638026920980562
2.5042348873e-09,0.9099869816586725,2.5042348873e-09,0.01443689780387469,2.5042348873e-09,0.8669615094656,2.5042348873e-09,-0.02632360144816381
2.5045367153e-09,0.9099796261409593,2.5045367153e-09,0.01444583074619164,2.5045367153e-09,0.8669421471005253,2.5045367153e-09,-0.02630412407386311
2.5049070652e-09,0.9099702666641928,2.5049070652e-09,0.0144570863458152,2.5049070652e-09,0.8669191053082649,2.5049070652e-09,-0.0262809511355227
2.5056477649e-09,0.9099533412076036,2.5056477649e-09,0.01447780858894287,2.5056477649e-09,0.8668756787755693,2.5056477649e-09,-0.02623730259098457
2.5071291644e-09,0.9099493984440012,2.5071291644e-09,0.01448898941322294,2.5071291644e-09,0.8668004337805523,2.5071291644e-09,-0.02616182388161076
2.5100919634e-09,0.9099137261787181,2.5100919634e-09,0.01453785750991661,2.5100919634e-09,0.8667096959213956,2.5100919634e-09,-0.02607143826428788
2.5147442456e-09,0.9098334668128633,2.5147442456e-09,0.01463716900287227,2.5147442456e-09,0.8667369258093677,2.5147442456e-09,-0.02610145196163492
2.5197442456e-09,0.9095093531196885,2.5197442456e-09,0.01497923102052803,2.5197442456e-09,0.8670157998842134,2.5197442456e-09,-0.02638639952755737
2.5247442456e-09,0.9089333323724719,2.5247442456e-09,0.01556764473644555,2.5247442456e-09,0.8675629731525888,2.5247442456e-09,-0.02694297250055869
2.5297442456e-09,0.9082770723902868,2.5297442456e-09,0.0162290047184355,2.5297442456e-09,0.8683578494786078,2.5297442456e-09,-0.02775069145852874
2.5347442456e-09,0.9076509682417425,2.5347442456e-09,0.01685388363617237,2.5347442456e-09,0.8693566085134085,2.5347442456e-09,-0.028765752028358
2.5397442456e-09,0.9069684603172334,2.5397442456e-09,0.01753134841796299,2.5397442456e-09,0.8704962288744655,2.5397442456e-09,-0.0299250812154129
2.5447442456e-09,0.9059734298862445,2.5447442456e-09,0.01851846784271548,2.5447442456e-09,0.8716925038644753,2.5447442456e-09,-0.03114417450037554
2.5497442456e-09,0.9046038451745178,2.5497442456e-09,0.01987411030909336,2.5497442456e-09,0.8728476069097595,2.5497442456e-09,-0.03232469070157139
2.5545672202e-09,0.9030213779724543,2.5545672202e-09,0.02143509712009426,2.5545672202e-09,0.8738310474628639,2.5545672202e-09,-0.03333432806445571
2.559369855e-09,0.9011829689052113,2.559369855e-09,0.02324572071023876,2.559369855e-09,0.874601270333613,2.559369855e-09,-0.03413133212764587
2.5643553038e-09,0.8987419736463299,2.5643553038e-09,0.02565583651937777,2.5643553038e-09,0.8751093526419511,2.5643553038e-09,-0.0346667795896284
2.5693553038e-09,0.8953713556302879,2.5693553038e-09,0.0289967901567183,2.5693553038e-09,0.8752677416086314,2.5693553038e-09,-0.03485092358322319
2.5743553038e-09,0.8911279443881925,2.5743553038e-09,0.03320633931912555,2.5743553038e-09,0.8750526197981114,2.5743553038e-09,-0.03465865901032632
2.5793553038e-09,0.8865933491003632,2.5793553038e-09,0.03769116862336769,2.5793553038e-09,0.8744727563007574,2.5793553038e-09,-0.03409763807756059
2.5830604504e-09,0.8834551755955231,2.5830604504e-09,0.04077568066921603,2.5830604504e-09,0.8738332256169672,2.5830604504e-09,-0.03346897527360725
2.5846188893e-09,0.8822069348765844,2.5846188893e-09,0.04199758832375268,2.5846188893e-09,0.8735134329797539,2.5846188893e-09,-0.03315281493849109
2.5861773282e-09,0.8810850062694279,2.5861773282e-09,0.04308880995586886,2.5861773282e-09,0.8731744356624381,2.5861773282e-09,-0.03281707581488424
2.5892942059e-09,0.878972292903208,2.5892942059e-09,0.04513471050960449,2.5892942059e-09,0.8724333971041115,2.5892942059e-09,-0.03208083766738513
2.592587823e-09,0.8770511994497876,2.592587823e-09,0.04697601105641577,2.592587823e-09,0.8715796151121942,2.592587823e-09,-0.03122971461138391
2.595087823e-09,0.8757634670586865,2.595087823e-09,0.04820020383754683,2.595087823e-09,0.870901289250777,2.595087823e-09,-0.03055186607914236
2.5971290716e-09,0.8748537333176899,2.5971290716e-09,0.04905822628992281,2.5971290716e-09,0.870339648935918,2.5971290716e-09,-0.02998956328845106
2.5996574652e-09,0.8739707906235374,2.5996574652e-09,0.04987734286239961,2.5996574652e-09,0.8696435784022728,2.5996574652e-09,-0.02929158045671317
2.6021574652e-09,0.8734388054632596,2.6021574652e-09,0.05034909728681822,2.6021574652e-09,0.868969115212211,2.6021574652e-09,-0.0286139987574115
2.6044458935e-09,0.8733862855562653,2.6044458935e-09,0.05034957534121201,2.6044458935e-09,0.868374116423173,2.6044458935e-09,-0.02801522935082021
2.6065481022e-09,0.8736914554293689,2.6065481022e-09,0.04999989411277002,2.6065481022e-09,0.8678536683096252,2.6065481022e-09,-0.02749058531370177
2.6092938276e-09,0.874733332152748,2.6092938276e-09,0.04890548177052085,2.6092938276e-09,0.8672250889609694,2.6092938276e-09,-0.02685560721754116
2.6117102995e-09,0.8762589457124087,2.6117102995e-09,0.04733949636089647,2.6117102995e-09,0.8667265632690252,2.6117102995e-09,-0.02635077799892192
2.6143249245e-09,0.8782782304452714,2.6143249245e-09,0.04528256258949908,2.6143249245e-09,0.8662562297558682,2.6143249245e-09,-0.02587297886727918
2.6169395495e-09,0.8807990415546558,2.6169395495e-09,0.04273208810341778,2.6169395495e-09,0.865865749235288,2.6169395495e-09,-0.02547459039512745
2.6184302932e-09,0.882247847072133,2.6184302932e-09,0.0412691529532509,2.6184302932e-09,0.8656824590035013,2.6184302932e-09,-0.02528662854457843
2.6197987495e-09,0.8836594615647723,2.6197987495e-09,0.03984760868495613,2.6197987495e-09,0.8655340025460423,2.6197987495e-09,-0.02513386695912643
2.6225356619e-09,0.8864170549111641,2.6225356619e-09,0.03707623411823804,2.6225356619e-09,0.8653127469934973,2.6225356619e-09,-0.02490385401437354
2.6266363616e-09,0.8902717026667288,2.6266363616e-09,0.03322044329560497,2.6266363616e-09,0.8651652080412305,2.6266363616e-09,-0.02474332030085504
2.6316363616e-09,0.8943346458938662,2.6316363616e-09,0.02918963084682512,2.6316363616e-09,0.8652678778978651,2.6316363616e-09,-0.02483101250232416
2.6366363616e-09,0.8977774888086368,2.6366363616e-09,0.02581349958512468,2.6366363616e-09,0.8656448892991494,2.6366363616e-09,-0.02519461901432511
2.6416363616e-09,0.9003372315375887,2.6416363616e-09,0.02334117873196856,2.6416363616e-09,0.8662411363616318,2.6416363616e-09,-0.02577963419496135
2.6466363616e-09,0.9013608515386046,2.6466363616e-09,0.02240119562350483,2.6466363616e-09,0.8669858115999634,2.6466363616e-09,-0.02651558700005026
2.6516363616e-09,0.900383504893482,2.6516363616e-09,0.02343135277401733,2.6516363616e-09,0.8678036827614893,2.6516363616e-09,-0.02732730212891889
2.6566363616e-09,0.8976796271223585,2.6566363616e-09,0.0261397034227106,2.6566363616e-09,0.868621651956195,2.6566363616e-09,-0.02814157465029208
2.6616363616e-09,0.8943935223646835,2.6616363616e-09,0.02938746312698427,2.6616363616e-09,0.8693725762239335,2.6616363616e-09,-0.02889093819223633
2.6666363616e-09,0.8914340449129895,2.6666363616e-09,0.03228657613892009,2.6666363616e-09,0.8700032881240365,2.6666363616e-09,-0.02952182027540913
2.6716363616e-09,0.8890335426600161,2.6716363616e-09,0.03462346972592895,2.6716363616e-09,0.8704804784073075,2.6716363616e-09,-0.03000042659941346
2.6766363616e-09,0.8871741766622192,2.6766363616e-09,0.036424523658693,2.6766363616e-09,0.8707885532631684,2.6766363616e-09,-0.03031069967924145
